"English","Tamazight_Sentence","Dialect","Tamazight","Tamazight_Latin","Tamazight_Arabic"
"I never liked that one anyway.","ⵓⵔ ⵉⵃⴱⵓⵖ ⴰⴽⴽⵡ ⴰⵢⴰ.","Tachelhit","ⵓⵔ ⵉⵃⴱⵓⵖ ⴰⴽⴽⵡ ⴰⵢⴰ.","ur iḥbuɣ akkw aya.","ور يحبوغ اككو ايا."
"I saw Yoshida for the first time in five years.","ⵥⵕⴰⵖ ⵊⵓⵙⵉⴷⴰ ⴰⵎⵣⵡⴰⵔⵓ ⴳ ⵙⵎⵎⵓⵙ ⵏ ⵉⵙⴳⴳⵡⴰⵙⵏ.","Tachelhit","ⵥⵕⴰⵖ ⵊⵓⵙⵉⴷⴰ ⴰⵎⵣⵡⴰⵔⵓ ⴳ ⵙⵎⵎⵓⵙ ⵏ ⵉⵙⴳⴳⵡⴰⵙⵏ.","ẓṛaɣ jusida amzwaru g smmus n isggwasn.","زّراغ جوسيدا امزوارو ڭ سمموس ن يسڭڭواسن."
"I have never believed in wars.","ⵓⵔ ⵙⵙⵉⵖⵖⵉⵖ ⴰⵔⴰ ⴳ ⵉⵎⵏⵖⵉⵢⵏ.","Tarifit","ⵓⵔ ⵙⵙⵉⵖⵖⵉⵖ ⴰⵔⴰ ⴳ ⵉⵎⵏⵖⵉⵢⵏ.","ur ssiɣɣiɣ ara g imnɣiyn.","ور سسيغغيغ ارا ڭ يمنغيين."
"I apologized for having been late for school.","ⵙⵙⵉⵖⵖ ⴰⵙ ⴰⵙⵏⴼⵍ ⵏ ⵜⵉⵣⵉ ⵖⵔ ⵜⵉⵏⵎⵍ.a","Central","ⵙⵙⵉⵖⵖ ⴰⵙ ⴰⵙⵏⴼⵍ ⵏ ⵜⵉⵣⵉ ⵖⵔ ⵜⵉⵏⵎⵍ.a","ssiɣɣ as asnfl n tizi ɣr tinml.a","سسيغغ اس اسنفل ن تيزي غر تينمل.a"
"The play was based on a true story.","ⵜⵍⵍⴰ ⵜⵎⵣⴳⵓⵏⵜ ⵅⴼ ⵢⴰⵜ ⵜⵏⴳⵓⵔⵉ.","Other","ⵜⵍⵍⴰ ⵜⵎⵣⴳⵓⵏⵜ ⵅⴼ ⵢⴰⵜ ⵜⵏⴳⵓⵔⵉ.","tlla tmzgunt khf yat tnguri.","تللا تمزڭونت خف يات تنڭوري."
"In 1847, they declared themselves independent.","IN 1847, ⵜⵏⵏⵏⴰ ⵙⵙⵉⵏⵉⵅⴼⵏ ⵏⵙⵏⵜ ⵉⵙⵉⵎⴰⵏⵏ.","Other","IN 1847, ⵜⵏⵏⵏⴰ ⵙⵙⵉⵏⵉⵅⴼⵏ ⵏⵙⵏⵜ ⵉⵙⵉⵎⴰⵏⵏ.","IN 1847, tnnna ssinikhfn nsnt isimann.","IN 1847, تنننا سسينيخفن نسنت يسيمانن."
"I was not a good mother.","ⵍⵉⵖ ⵜⴰⵎⵎⴰⵜ ⵉⵖⵓⴷⴰⵏ.","Other","ⵍⵉⵖ ⵜⴰⵎⵎⴰⵜ ⵉⵖⵓⴷⴰⵏ.","liɣ tammat iɣudan.","ليغ تاممات يغودان."
"It is difficult to find an available porter at this station.","ⵓⵔ ⵉⵇⵇⴰⵏ ⴰⴷ ⵉⵍⵉⵏ ⵢⴰⵏ ⵓⵎⵙⴰⵙⴰ ⵉⵍⵍⴰⵏ ⴳ ⵓⵙⴳⵎⴹ ","Central","ⵓⵔ ⵉⵇⵇⴰⵏ ⴰⴷ ⵉⵍⵉⵏ ⵢⴰⵏ ⵓⵎⵙⴰⵙⴰ ⵉⵍⵍⴰⵏ ⴳ ⵓⵙⴳⵎⴹ ","ur iqqan ad ilin yan umsasa illan g usgmḍ ","ور يققان اد يلين يان ومساسا يللان ڭ وسڭمض "
"My father bought land to build a house.","isnubg bab n waddur agllid yan wakal afad ad iskr yan uddis.","Tachelhit","ⵉⵙⵏⵓⴲⴴ ⴲⴰⴲ ⵏ ⵡⴰⴷⴷⵓⵔ ⴰⴴⵍⵍⵉⴷ ⵢⴰⵏ ⵡⴰⴿⴰⵍ ⴰⴼⴰⴷ ⴰⴷ ⵉⵙⴿⵔ ⵢⴰⵏ ⵓⴷⴷⵉⵙ.","isnubg bab n waddur agllid yan wakal afad ad iskr yan uddis.","isnubg bab n waddur agllid yan wakal afad ad iskr yan uddis."
"Do you really want to know why I didn't do what you asked me to do?","ⵜⵔⴰ ⴰⴷ ⵜⵉⵍⵉⴷ ⵙⵓⵍ ⵎⴰⴷ ⵓⵔ ⵙⴽⵔⵖ ⵎⴰⴷ ⵉⵔⴰⵖ?","Other","ⵜⵔⴰ ⴰⴷ ⵜⵉⵍⵉⴷ ⵙⵓⵍ ⵎⴰⴷ ⵓⵔ ⵙⴽⵔⵖ ⵎⴰⴷ ⵉⵔⴰⵖ?","tra ad tilid sul mad ur skrɣ mad iraɣ?","ترا اد تيليد سول ماد ور سكرغ ماد يراغ?"
