English_Sentence,Tamazight_Sentence,Dialect,Tamazight_Tifinagh,Tamazight_Arabic,Tamazight_Latin
I never liked that one anyway.,ⵓⵔ ⵉⵃⴱⵓⵖ ⴰⴽⴽⵡ ⴰⵢⴰ.,Tachelhit,ⵓⵔ ⵉⵃⴱⵓⵖ ⴰⴽⴽⵡ ⴰⵢⴰ.,ور يحبوغ اككو ايا.,ur iḥbuɣ akkw aya.
I saw Yoshida for the first time in five years.,ⵥⵕⴰⵖ ⵊⵓⵙⵉⴷⴰ ⴰⵎⵣⵡⴰⵔⵓ ⴳ ⵙⵎⵎⵓⵙ ⵏ ⵉⵙⴳⴳⵡⴰⵙⵏ.,Tachelhit,ⵥⵕⴰⵖ ⵊⵓⵙⵉⴷⴰ ⴰⵎⵣⵡⴰⵔⵓ ⴳ ⵙⵎⵎⵓⵙ ⵏ ⵉⵙⴳⴳⵡⴰⵙⵏ.,زّرّاغ جوسيدا امزوارو ڭ سمموس ن يسڭڭواسن.,ẓṛaɣ jusida amzwaru g smmus n isggwasn.
I have never believed in wars.,ⵓⵔ ⵙⵙⵉⵖⵖⵉⵖ ⴰⵔⴰ ⴳ ⵉⵎⵏⵖⵉⵢⵏ.,Tarifit,ⵓⵔ ⵙⵙⵉⵖⵖⵉⵖ ⴰⵔⴰ ⴳ ⵉⵎⵏⵖⵉⵢⵏ.,ور سسيغغيغ ارا ڭ يمنغيين.,ur ssiɣɣiɣ ara g imnɣiyn.
I apologized for having been late for school.,ⵙⵙⵉⵖⵖ ⴰⵙ ⴰⵙⵏⴼⵍ ⵏ ⵜⵉⵣⵉ ⵖⵔ ⵜⵉⵏⵎⵍ.,Central,ⵙⵙⵉⵖⵖ ⴰⵙ ⴰⵙⵏⴼⵍ ⵏ ⵜⵉⵣⵉ ⵖⵔ ⵜⵉⵏⵎⵍ.,سسيغغ اس اسنفل ن تيزي غر تينمل.,ssiɣɣ as asnfl n tizi ɣr tinml.
The play was based on a true story.,ⵜⵍⵍⴰ ⵜⵎⵣⴳⵓⵏⵜ ⵅⴼ ⵢⴰⵜ ⵜⵏⴳⵓⵔⵉ.,Other,ⵜⵍⵍⴰ ⵜⵎⵣⴳⵓⵏⵜ ⵅⴼ ⵢⴰⵜ ⵜⵏⴳⵓⵔⵉ.,تللا تمزڭونت خف يات تنڭوري.,tlla tmzgunt 5f yat tnguri.
"In 1847, they declared themselves independent.","ⵖ 1847, ⵜⵏⵏⵏⴰ ⵙⵙⵉⵏⵉⵅⴼⵏ ⵏⵙⵏⵜ ⵉⵙⵉⵎⴰⵏⵏ.",Other,"ⵖ 1847, ⵜⵏⵏⵏⴰ ⵙⵙⵉⵏⵉⵅⴼⵏ ⵏⵙⵏⵜ ⵉⵙⵉⵎⴰⵏⵏ.","غ 1847, تنننا سسينيخفن نسنت يسيمانن.","ɣ 1847, tnnna ssini5fn nsnt isimann."
I was not a good mother.,ⵍⵉⵖ ⵜⴰⵎⵎⴰⵜ ⵉⵖⵓⴷⴰⵏ.,Other,ⵍⵉⵖ ⵜⴰⵎⵎⴰⵜ ⵉⵖⵓⴷⴰⵏ.,ليغ تاممات يغودان.,liɣ tammat iɣudan.
It is difficult to find an available porter at this station.,ⵓⵔ ⵉⵇⵇⴰⵏ ⴰⴷ ⵉⵍⵉⵏ ⵢⴰⵏ ⵓⵎⵙⴰⵙⴰ ⵉⵍⵍⴰⵏ ⴳ ⵓⵙⴳⵎⴹ ,Central,ⵓⵔ ⵉⵇⵇⴰⵏ ⴰⴷ ⵉⵍⵉⵏ ⵢⴰⵏ ⵓⵎⵙⴰⵙⴰ ⵉⵍⵍⴰⵏ ⴳ ⵓⵙⴳⵎⴹ ,ور يققان اد يلين يان ومساسا يللان ڭ وسڭمض ,ur i99an ad ilin yan umsasa illan g usgmḍ 
My father bought land to build a house.,isnubg bab n waddur agllid yan wakal afad ad iskr yan uddis.,Tachelhit,ⵉⵙⵏⵓⴱⴳ ⴱⴰⴱ ⵏ ⵡⴰⴷⴷⵓⵔ ⴰⴳⵍⵍⵉⴷ ⵢⴰⵏ ⵡⴰⴽⴰⵍ ⴰⴼⴰⴷ ⴰⴷ ⵉⵙⴽⵔ ⵢⴰⵏ ⵓⴷⴷⵉⵙ.,يسنوبڭ باب ن واددور اڭلليد يان واكال افاد اد يسكر يان ودديس.,isnubg bab n waddur agllid yan wakal afad ad iskr yan uddis.
Do you really want to know why I didn't do what you asked me to do?,ⵜⵔⴰ ⴰⴷ ⵜⵉⵍⵉⴷ ⵙⵓⵍ ⵎⴰⴷ ⵓⵔ ⵙⴽⵔⵖ ⵎⴰⴷ ⵉⵔⴰⵖ?,Other,ⵜⵔⴰ ⴰⴷ ⵜⵉⵍⵉⴷ ⵙⵓⵍ ⵎⴰⴷ ⵓⵔ ⵙⴽⵔⵖ ⵎⴰⴷ ⵉⵔⴰⵖ?,ترا اد تيليد سول ماد ور سكرغ ماد يراغ?,tra ad tilid sul mad ur skrɣ mad iraɣ?
