English_Sentence,Tamazight_Sentence,Dialect,Tamazight_Tifinagh,Tamazight_Arabic,Tamazight_Latin
The food.,utci.,Other,ⵓⵜⵛⵉ.,وتشي.,utshi.
Food.,matca.,Tarifit,ⵎⴰⵜⵛⴰ.,ماتشا.,matsha.
Food.,amtcu.,Other,ⴰⵎⵜⵛⵓ.,امتشو.,amtshu.
Evening prayer.,tinwutci.,Other,ⵜⵉⵏⵡⵓⵜⵛⵉ.,تينووتشي.,tinwutshi.
He has eaten.,icca.,Tarifit,ⵉⵛⵛⴰ.,يششا.,ishsha.
He has eaten.,iccu.,Other,ⵉⵛⵛⵓ.,يششو.,ishshu.
Cello.,atcilu.,Other,ⴰⵜⵛⵉⵍⵓ.,اتشيلو.,atshilu.
Fullness.,tcarit.,Tarifit,ⵜⵛⴰⵔⵉⵜ.,تشاريت.,tsharit.
Greenish.,tcadalt.,Other,ⵜⵛⴰⴷⴰⵍⵜ.,تشادالت.,tshadalt.
Stumble.,tcafit.,Other,ⵜⵛⴰⴼⵉⵜ.,تشافيت.,tshafit.
Well-being.,tcuni.,Tarifit,ⵜⵛⵓⵏⵉ.,تشوني.,tshuni.
Ball.,tcamma.,Tarifit,ⵜⵛⴰⵎⵎⴰ.,تشامما.,tshamma.
Eat!,tc!,Other,ⵜⵛ!,تش!,tsh!
Flower.,aldjig.,Other,ⴰⵍⴷⵊⵉⴳ.,الدجيڭ.,aldjig.
Foal.,awudj.,Central,ⴰⵡⵓⴷⵊ.,اوودج.,awudj.
One.,idjn.,Other,ⵉⴷⵊⵏ.,يدجن.,idjn.
Neighbor.,ajjar.,Tarifit,ⴰⵊⵊⴰⵔ.,اججار.,ajjar.
Poison.,ihidj.,Other,ⵉⵀⵉⴷⵊ.,يهيدج.,ihidj.
Jeans.,djin.,Other,ⴷⵊⵉⵏ.,دجين.,djin.
He was foolish enough to believe her.,ⵉⴽⴽⴰ ⵜⵜ ⵏⵏ ⵉⵏⵓⴼⵍ ⵙ ⵎⴰ ⴰⴷ ⵉⴳⵓⵎⵏ ⴰⴷ ⵜⵜ ⵢⴰⵎⵏ.,Tachelhit,ⵉⴽⴽⴰ ⵜⵜ ⵏⵏ ⵉⵏⵓⴼⵍ ⵙ ⵎⴰ ⴰⴷ ⵉⴳⵓⵎⵏ ⴰⴷ ⵜⵜ ⵢⴰⵎⵏ.,يككا تت نن ينوفل س ما اد يڭومن اد تت يامن.,ikka tt nn inufl s ma ad igumn ad tt yamn.
Widower.,adjal.,Other,ⴰⴷⵊⴰⵍ.,ادجال.,adjal.
Back.,vulṭ.,Other,ⵠⵓⵍⵟ.,فولط.,vulṭ.
