source_string,target_string,latin,arabic_script,english
ⵜⵇⵇⵓⵔ ⵜⵇⵙⵎⵉⵔⵜ ⵏⵏⵙ ⵙ ⵓⵚⵎⴰⵟ,يبس ذقنه بالبرد.,tqqur tqsmirt nns s uṣmaṭ,تققور تقسميرت ننس س وصماط,"""His chin stiffened from the cold."""
ⵉⵖⵟⵍ ⴷ ⵜⴰⵇⵙⵎⵉⵔⵜ ⵏⵏⵙ ⵙ ⵓⵖⵣⵣⴰⵍ,أسقط ذقنه بالعصا.,ighṭl d taqsmirt nns s ughzzal,يغطل د تاقسميرت ننس س وغززال,He dropped his chin with the stick.
ⵜⴳⴳⵉⵜ ⵙⵙⵄⴰⵢⵜ ⴷⵉ ⵍⵡⵇⵜ ⴰ,كثر التسول في هذا الزمن.,tggit ss3ayt di lwqt a,تڭڭيت سسعايت دي لوقت ا,Begging has increased in this time.
ⴰⵖⵟⴰⵍ ⵏ ⵢⵉⵥⵕⴰ ⵣⴳ ⵓⵊⴷⵉⵔ,إسقاط الحجر من الجرف.,aghṭal n yiẓṛa zg ujdir,اغطال ن ييزّرا زڭ وجدير,Dropping the stone from the cliff.
ⴰⴷ ⵏⴷⵡⵍ ⴰⵅⵅⴰⵎ ⵏⵏⵖ ⵇⴱⵍ ⵓⵔ ⵉⵙⵙⵓⵍⵍⵙ ⵢⵉⵟ,سنعود إلى المنزل قبل أن يظلم الليل.,ad ndwl akhkham nngh qbl ur issulls yiṭ,اد ندول اخخام ننغ قبل ور يسسوللس ييط,We will return home before night falls.
ⵜⵙⵙⵓⵍⵍⵙ ⴷⴷⵏⵢⴰ ⴷⴳ ⵡⴰⵍⵍⵏ ⵉⵏⵓ,اسودت الدنيا في عيناي.,tssulls ddnya dg walln inu,تسسوللس ددنيا دڭ واللن ينو,"""The world darkened before my eyes."""
ⴰⵖⴹⴰⵍ ⵏ ⵢⵉⵥⵕⴰ ⵣⴳ ⵓⵊⴷⵉⵔ,إسقاط الحجر من الجرف.,aghḍal n yiẓṛa zg ujdir,اغضال ن ييزّرا زڭ وجدير,Dropping the stone from the cliff.
ⵉⵙⵙⵄⵇⴷ ⴰⵙ ⵉⵕⴰⵃ,أثاره ثم انصرف.,iss3qd as iṛaḥ,يسسعقد اس يراح,He provoked him and then left.
ⵜⵙⵙⵄⵇⴷ ⵜⴼⴰⵡⵜ,أنارت الضوء.,tss3qd tfawt,تسسعقد تفاوت,She/It turned on the light.
ⵉⵚⴷⴷⵇ ⵙⵙⵍⵄⵜ ⵏⵏⵙ ⴷ ⴰⵚⴷⴷⵇ,باع بضاعته بسعر منخفض.,iṣddq ssl3t nns d aṣddq,يصددق سسلعت ننس د اصددق,He sold his goods at a low price.
ⵉⵡⵛⴰ ⵚⵚⴰⴷⴰⵇⴰ ⵉ ⵍⵎⵓⵙⴰⴽⵉⵏ,أعطى الصدقة للمساكين.,iwsha ṣṣadaqa i lmusakin,يوشا صصاداقا ي لموساكين,He gave charity to the poor.
ⵉⵜⵜⵛⴰ ⵛⴰⵏⵉⴼ ⴷⵉ ⵙⵙⵓⵇ,أكل اللحم المشوي في السوق.,ittsha shanif di ssuq,يتتشا شانيف دي سسوق,He ate grilled meat at the market.
ⵓⴷⵊⵉ ⵢⵙⵙⵉⵏ ⵛⴳⴳⵯⵓ ⵎⴰⵢⵏ ⵉⵄⵏⴰ,لا يعرف معنى الشبع.,udji yssin shggⵯu mayn i3na,ودجي يسسين شڭڭⵯو ماين يعنا,He does not know the meaning of satisfaction.
ⵉⵛⵛⵉⵟⵟⵡ ⵓⵖⵢⵓⵍ ⵣⵣⵉ ⵢⵉⵏⵏⵢ ⵎⵊⵊⵖⵢⵓⵍ,رفع الحمار أذنيه انتباها عندما رأى الضبع.,ishshiṭṭw ughyul zzi yinny mjjghyul,يششيططو وغيول ززي يينني مججغيول,The donkey raised its ears attentively when it saw the hyena.
ⵉⵛⵏⴼ ⴰⴽⵙⵓⵎ ⵉ ⵢⵏⵓⵊⵉⵡⵏ,شوى اللحم للضيوف.,ishnf aksum i ynujiwn,يشنف اكسوم ي ينوجيون,He grilled the meat for the guests.
ⵜⵛⵏⴼ ⵉⴹⵕⴰⵜⵏ,حمّصت الذرة.,tshnf iḍṛatn,تشنف يضراتن,I roasted the corn.
ⵉⵇⵇⵉⵎ ⵅ  ⵓⵖⵣⴷⵉⵙ ⵏ ⵢⵎⵎⴰ-ⵙ,جلس بجانب أمه.,iqqim kh  ughzdis n ymma-s,يققيم خ  وغزديس ن يمما-س,He sat next to his mother.
ⵜⵜⵛⵉⵏ ⵉⵢⵉ ⵢⵛⵓⵔⴷⴰⵏ,أكلتني البراغيث.,ttshin iyi yshurdan,تتشين ييي يشوردان,The fleas ate me.
ⵜⵜⵛⵉⵏ ⵉⵢⵉ ⵢⵛⵓⵔⴷⴰⵏ,أكلتني البراغيث.,ttshin iyi yshurdan,تتشين ييي يشوردان,The fleas ate me.
ⵜⵜⵛⵉⵏ ⵉⵢⵉ ⵢⵛⵓⵔⴷⴰⵏ,أكلتني البراغيث.,ttshin iyi yshurdan,تتشين ييي يشوردان,The fleas ate me.
ⵢⵓⵖ ⴰⵖⵣⵣⴰⵍ ⵣⵣⵉ ⴱⴰⴱⴰ-ⵙ,ضُرب ضربا شديدا من طرف والده.,yugh aghzzal zzi baba-s,يوغ اغززال ززي بابا-س,He was severely beaten by his father.
ⵍⵍⴰⵏ ⵍⵡⴰⵛⵓⵏ ⵜⵜⵓⵔⴰⵔⵏ ⵜⴰⴱⵏⵏⴰⵛⵜ,يلعب الأولاد لعبة رمي الحجارة.,llan lwashun tturarn tabnnasht,للان لواشون تتورارن تابنناشت,The boys are playing a game of throwing stones.
ⵉⵅⴷⴷⵎ ⴷⵉ ⵜⴱⵏⵏⴰⵢⵜ,يمتهن حرفة البناء.,ikhddm di tbnnayt,يخددم دي تبننايت,He practices the profession of construction.
ⵢⵓⵣⵏ ⴰⵙ ⵜⴰⴱⵔⴰⵜ ⵏⵏⵙ,أرسل لها عقد طلاقها.,yuzn as tabrat nns,يوزن اس تابرات ننس,He sent her the divorce contract.
ⴰⵀⴷⴰⵎ ⵏ ⵜⵓⴷⵔⵉⵏ,تدمير المنازل.,ahdam n tudrin,اهدام ن تودرين,The destruction of homes.
ⴰⵀⴷⴰⵎ ⵏ ⵢⵉⵥⵕⴰ ⵣⴳ ⵓⵊⴷⵉⵔ,إسقاط الحجر من الجرف.,ahdam n yiẓṛa zg ujdir,اهدام ن ييزّرا زڭ وجدير,Dropping the stone from the cliff.
ⵜⴰⴷⵊⵡⴰⵕⵜ ⵏ ⵍⴱⵄⵟ ⵏ ⵎⵉⴷⴷⵏ ⴷ ⵜⴰⴱⵕⵕⴰⵏⵜ,مجاورة بعض الناس سيئة.,tadjwaṛt n lb3ṭ n middn d tabṛṛant,تادجوارت ن لبعط ن ميددن د تابررانت,Being close to some people is bad.
ⵉⵔⵔⴰ ⵢⵉⵅⴼ ⵏⵏⵙ ⴷ ⵜⴰⴹⵚⴰ ⵏ ⵎⵉⴷⴷⵏ,جعل من نفسه أضحوكة الناس.,irra yikhf nns d taḍṣa n middn,يررا ييخف ننس د تاضصا ن ميددن,He made himself the laughingstock of the people.
ⵜⴽⴽⵔ ⴰⵙ ⵜⴳⵔⵎⴰⵎⵜ ⴷⵉ ⵜⵅⵏⴰ ⵏⵏⵙ,برز دمل في مؤخرته.,tkkr as tgrmamt di tkhna nns,تككر اس تڭرمامت دي تخنا ننس,A boil appeared on his backside.
ⵉⵅⴷⴷⵎ ⴷⵉ ⵜⴳⵣⵣⴰⵔⵜ,يمتهن الجزارة.,ikhddm di tgzzart,يخددم دي تڭززارت,He practices butchery.
ⵉⵜⵜⵛⴰⵜ ⵙ ⵜⵖⵎⵔⵜ,يضرب بالمرفق.,ittshat s tghmrt,يتتشات س تغمرت,He strikes with the elbow.
ⵉⵙⵖⴰ ⵜⵉⵖⵣⴷⵉⵙⵉⵏ ⵏ ⵓⵎⵓⵃⵓⵍ ⵣⴳ ⵓⴳⵣⵣⴰⵔ,اشترى أضلع الخروف من الجزار.,isgha tighzdisin n umuḥul zg ugzzar,يسغا تيغزديسين ن وموحول زڭ وڭززار,He bought lamb ribs from the butcher.
ⵉⴷⵡⵍ ⴷⵉ ⵜⴰⵍⵍⴰⵙⵜ ⵖⵔ ⵜⴰⴷⴷⴰⵔⵜ ⵏⵏⵙ,رجع في الظلام إلى داره.,idwl di tallast ghr taddart nns,يدول دي تاللاست غر تاددارت ننس,He returned to his house in the dark.
