source_string,target_string,latin,arabic_script,english
ⴰⴷ ⵉⵙⵡ ⵙ ⵡⵓⵕⴰⵡⵏ ⵏⵏⵙ,سيشرب بكفيه (ملء الكفين).,ad isw s wuṛawn nns,اد يسو س ووراون ننس,He will drink with his hands (a handful).
ⴰⴷ ⵉⵢⵉ ⵢⴽⴽⵙ  ⵕⴱⴱⵉ  ⵢⴰⵣⵍⵍⵉⴼ,فليزل لي ربي الرأس.,ad iyi ykks  ṛbbi  yazllif,اد ييي يككس  رببي  يازلليف,"""May my Lord remove my head."""
ⴰⴷ ⵉⵣⵔⵢ ⴷⴳ ⵓⵏⴼⵉⴼ,سيمر في القمع.,ad izry dg unfif,اد يزري دڭ ونفيف,"""He will pass through the funnel."""
ⴰⵍⵍⵉ ⵏⵏⵙ ⴷⵉ ⵜⵅⵏⴰ ⵏⵏⵙ,دماغه في مؤخرته.,alli nns di tkhna nns,اللي ننس دي تخنا ننس,"""His brain is in his backside."""
"ⴰⵎ ⵉⵎⵛ ⵉⵇⵇⵏ ⵜⵉⵟⵟ, ⵉⵕⵥⵎ ⵉⵜⵜ",كمن أغلق عينه وفتحها.,"am imsh iqqn tiṭṭ, iṛẓm itt","ام يمش يققن تيطط, يرزّم يتت","""Like someone who closed their eyes and then opened them."""
ⴰⵎ ⵡⵏⵏ ⵓⵎⵉ ⵇⵇⵙⵏⵜ ⵜⵣⵉⵣⵡⴰ,كمن لسعه النحل.,am wnn umi qqsnt tzizwa,ام ونن ومي ققسنت تزيزوا,"""Like someone stung by a bee."""
ⴰⵎ ⵡⵓⴷⵉ ⴷ ⵜⴰⵎⴻⵎⵜ,كالسمن والعسل.,am wudi d tamemt,ام وودي د تام°مت,Like butter and honey.
ⴰⵡⵢ ⵉⵜ ⴷⴳ ⵢⵉⵅⴼ ⵏⵏⵛ,اهتم بنفسك.,awy it dg yikhf nnsh,اوي يت دڭ ييخف ننش,Take care of yourself.
ⴰⵣⵍⵍⵉⴼ ⵏⵏⵙ ⴷ ⴰⵥⵕⵓ,رأسه حجر.,azllif nns d aẓṛu,ازلليف ننس د ازّرو,"His head is a rock.  

(Note: This phrase can be interpreted literally or metaphorically, depending on the context. Metaphorically, it might mean someone is stubborn or hard-headed.)"
ⴰⵣⵍⵍⵉⴼ ⵏⵏⵙ ⴷ ⵜⴰⵅⵙⴰⵛⵜ,رأسه يقطينة.,azllif nns d takhsasht,ازلليف ننس د تاخساشت,"""His head is a pumpkin."""
ⴱⴷⴷⵏⵜ ⴰⵙ ⵜⴽⵓⴼⴼⴰⵙ,وقف اللعاب.,bddnt as tkuffas,بددنت اس تكوففاس,"""The game stopped."""
ⴱⵓⵃⴱⵍ ⵉⵜⵜⴰⵍⵢ ⵉⵟⵟⴰⵕ,الروح تصعد وتهبط.,buḥbl ittaly iṭṭaṛ,بوحبل يتتالي يططار,The soul rises and falls.
ⴷⴰⴳ-ⵙ ⵜⴼⵙⴻⵙ ⵏ ⵓⴼⵓⵙ,فيه خفة اليد.,dag-s tfses n ufus,داڭ-س تفس°س ن وفوس,There is sleight of hand.
