English,Tamazight,Tamazight_Latin,Tamazight_Arabic
Contribute Your Voice,ⴰⵔⴳⴰⵜ ⵙ ⵓⴳⵕⴹ ⵏⵏⵓⵏ,argat s ugṛḍ nnun,ارڭات س وڭرض ننون
Punctuation,ⴰⵙⵏⵇⴹ,asnqḍ,اسنقض
Someone asks for a language to be added.,ⵍⴰ ⵉⵜⵜⴻⵜⵜⵔ ⴽⵔⴰ ⵏ ⵢⴰⵏ ⴰⵔⵏⵏⵓ ⵏ ⵢⴰⵜ ⵜⵓⵜⵍⴰⵢⵜ.,la ittettr kra n yan arnnu n yat tutlayt.,لا يتت°تتر كرا ن يان ارننو ن يات توتلايت.
"There are a lot of public organizations that might want to collaborate and already have a lot of texts they can donate as public domain. Reach out to local universities, Governments and open source organizations to talk about the project and ask for their help.","ⵍⵍⴰⵏⵜ ⴽⵉⴳⴰⵏ ⵏ ⵜⵎⴰⴷⴷⴰⵙⵉⵏ ⵜⵉⴳⴷⵓⴷⴰⵏⵉⵏ ⵏⵏⴰ ⵖⵉⵢⵏⵉⵏ ⴰⴷ ⵅⵙⵏⵜ ⴰⴷ ⵎⵢⴰⵡⴰⵙⵏⵜ ⴷ ⴰⴷ ⵢⴰⴷ ⵖⵓⵔⵙⵏⵜ ⵉⵍⵉⵏ ⴽⵉⴳⴰⵏ ⵏ ⵉⴹⵕⵉⵚⵏ ⵏⵏⴰ ⵙ ⵣⵎⵔⵏⵜ ⴰⴷ ⵜⵏ ⴼⴽⵏⵜ ⴰⵎ ⵡⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ. ⵏⵢⴰⵍⴽⴰⵎ ⴰⴽⴷ ⵜⵙⴷⴰⵡⵉⵢⵉⵏ ⵜⵉⴷⵖⵔⴰⵏⵉⵏ, ⵜⵉⵏⴱⴰⴹⵉⵏ ⴷ ⵜⵎⴰⴷⴷⴰⵙⵉⵏ ⵏ ⵓⵙⴰⴳⵎ ⵓⵕⵥⵉⵎ ⵃⵎⴰ ⴰⴷ ⵜⵙⵉⵡⵍⴷ ⵅⴼ ⵓⵙⵏⴼⴰⵔ, ⵜⴻⵜⵜⵔⴷ ⵜⵉⵡⵉⵙⵉ ⵏⵏⵙⵏ.","llant kigan n tmaddasin tigdudanin nna ghiynin ad khsnt ad myawasnt d ad yad ghursnt ilin kigan n iḍṛiṣn nna s zmrnt ad tn fknt am wagla agdudan. nyalkam akd tsdawiyin tidghranin, tinbaḍin d tmaddasin n usagm uṛẓim ḥma ad tsiwld khf usnfar, tettrd tiwisi nnsn.","للانت كيڭان ن تمادداسين تيڭدودانين ننا غيينين اد خسنت اد مياواسنت د اد ياد غورسنت يلين كيڭان ن يضريصن ننا س زمرنت اد تن فكنت ام واڭلا اڭدودان. نيالكام اكد تسداوييين تيدغرانين, تينباضين د تمادداسين ن وساڭم ورزّيم حما اد تسيولد خف وسنفار, ت°تترد تيويسي ننسن."
Ready to do { $count } more?,ⵜⵙⴰⴳⴰⴷ ⴰⴷ ⵜⵙⴽⵔⴷ { $count } ⵢⴰⴹⵏⵉⵏ?,tsagad ad tskrd { $count } yaḍnin?,تساڭاد اد تسكرد { $count } ياضنين?
Share Common Voice,ⴱⴹⵓ ⴽⴰⵎⵏⴼⵓⵢⵙ,bḍu kamnfuys,بضو كامنفويس
<addLink>Add more sentences now!</addLink>,<addLink>ⵔⵏⵓ ⵓⴳⴳⴰⵔ ⵏ ⵜⵡⵉⵏⴰⵙ ⴷⵖⵉ!</addLink>,<addLink>rnu uggar n twinas dghi!</addLink>,<addLink>رنو وڭڭار ن تويناس دغي!</addLink>
Issue,ⵙⵓⴼⵖ,sufgh,سوفغ
What is Common Voice?,ⵎⵉⵏ ⵉⵄⵏⴰ ⴽⴰⵎⵏⴼⵓⵢⵙ?,min i3na kamnfuys?,مين يعنا كامنفويس?
Xitsonga,ⵜⴰⵟⵚⵓⵏⴳⵉⵜ,taṭṣungit,تاطصونڭيت
{ $totalHours } hours is achievable in just over { $periodMonths } months if { $people } people record { $clipsPerDay } clips a day.,ⵏⵣⵎⵔ ⴰⴷ ⵏⴰⵡⴹ { $totalHours } ⵜⵙⵔⴰⴳⵉⵏ ⴳ { $periodMonths } ⵡⴰⵢⵢⵓⵔⵏ ⵎⴽ ⵙⵓⵙⵔⵏ { $people } ⵎⴷⴷⵏ  { $clipsPerDay } ⵜⵓⵙⵙⵉⴼⵉⵏ ⴽⵓ ⴰⵙⵙ.,nzmr ad nawḍ { $totalHours } tsragin g { $periodMonths } wayyurn mk susrn { $people } mddn  { $clipsPerDay } tussifin ku ass.,نزمر اد ناوض { $totalHours } تسراڭين ڭ { $periodMonths } واييورن مك سوسرن { $people } مددن  { $clipsPerDay } توسسيفين كو اسس.
Aragonese,ⵜⴰⵕⴰⴳⵓⵏⵉⵜ,taṛagunit,تاراڭونيت
Faroese,ⵜⴰⴼⴰⵔⵡⵉⵙⵉⵜ,tafarwisit,تافارويسيت
Listening,ⵜⵉⵎⵙⵍⵉⵡⵜ,timsliwt,تيمسليوت
Very common mistakes include:,ⵜⵉⵣⴳⵍⵉⵏ ⵜⵜⵉⵍⵉⵏⵉⵏ ⵙ ⵜⵓⴳⵜⵜ ⵓⵎⴰⵏⵜ:,tizglin ttilinin s tugtt umant:,تيزڭلين تتيلينين س توڭتت ومانت:
Recordings,ⵉⵙⵓⵙⴰⵔ,isusar,يسوسار
Copy Link,ⵙⵙⵏⵖⵍ ⴰⵙⵖⵏ,ssnghl asghn,سسنغل اسغن
The site is ready to be launched when it reaches 75% completion.,ⵍⴰ ⵉⵜⵜⵎⵓⵜⵜⵓⴳ ⵓⵙⵉⵜ ⵉ ⵓⵏⵏⵓⵕⵥⵎ ⴰⴷⴷⴰⵢ ⵉⵍⴽⵎ 75% ⵏ ⵓⵙⵎⴰⴷ.,la ittmuttug usit i unnuṛẓm adday ilkm 75% n usmad.,لا يتتموتتوڭ وسيت ي وننورزّم ادداي يلكم 75% ن وسماد.
