Tamazight,target_string,Tamazight_Latin,Tamazight_Arabic,English
ⴰⴱⵔⵔⵣ ⵏ ⵢⵉⵅⵔⴼⵉⵢⵏ ⵖⵉⵔ ⵣⵣⵉ ⵜⵕⵥⵥⵉⵜ ⵏ ⵡⴰⵛⵛⴰⵡⵏ,تناطح الأكباش يؤدي إلى كسر قرونها.,abrrz n yikhrfiyn ghir zzi tṛẓẓit n washshawn,ابررز ن ييخرفيين غير ززي ترزّزّيت ن واششاون,The rams' butting leads to the breaking of their horns.
"ⴰⴷ ⴰⵏⵖ ⵢⵢ ⵕⴱⴱⵉ ⵍⴼⵍⵓⵙ ⴷⵉ ⵊⵊⵉⴱ, ⵉⵍⵉⴷ ⴷⴳ ⵡⵓⵍ",يا رب اجعل  النقود في جيوبنا لا في قلوبنا.,"ad angh yy ṛbbi lflus di jjib, ilid dg wul","اد انغ يي رببي لفلوس دي ججيب, يليد دڭ وول","O Lord, make money in our pockets, not in our hearts."
ⴰⴷⴼⵍ ⵓⵔ ⴷⴰⴳ-ⵙ ⵉⵍⵍⵉ ⵡⵣⵇⵇⴰⵍ,الثلج لا يوجد فيه الدافئ.,adfl ur dag-s illi wzqqal,ادفل ور داڭ-س يللي وزققال,Snow does not have warmth.
"ⴰⴷ ⵎⵍⵛⵖ ⵉ ⵄⵛⵔⴰ, ⵡⴰⵍⴰ ⵎⵍⵛⵖ ⵉ ⵄⵉⵛⴰ",سأزوج عشرة ولا زوجت عائشة.,"ad mlshgh i 3shra, wala mlshgh i 3isha","اد ملشغ ي عشرا, والا ملشغ ي عيشا","""I would marry ten (women) and not marry Aisha."""
ⴰⴷ ⵜⵔⵓ ⵢⵎⵎⴰ-ⵙ ⵢⵉⴼ ⵎⴰ ⵢⴰⴷ ⵜⵔⵓ ⵢⵎⵎⴰ,تبكي أمه أفضل من أن تبكي أمي.,ad tru ymma-s yif ma yad tru ymma,اد ترو يمما-س ييف ما ياد ترو يمما,"""Better his mother cries than my mother."""
ⴰⵖⵉⵎⵉ ⵡⵔ ⵉⵍⵍⵉ ⵖⵔ ⵜⵣⵉⵣⵡⴰ,لا جلوس عند النحل.,aghimi wr illi ghr tzizwa,اغيمي ور يللي غر تزيزوا,No sitting near the bees.
ⴰⵖⵉⵎⵉ ⵢⵙⵙⵖⴰⵔⴰ ⵢⵉⵎⵉ,الجلوس (عاطل عن العمل) يجفف الفم.,aghimi yssghara yimi,اغيمي يسسغارا ييمي,"""Being idle (unemployed) dries the mouth."""
"ⴰⵖⵕⵓⵎ ⵉⵏⵓ ⴷⴳ ⵓⵄⴷⵉⵍ ⵉⵏⵓ, ⵓⵔ ⵉⵙⵍⵍ ⵃⴷⴷ ⵉ ⵢⵖⵓⵢⵢⴰⵏ ⵉⵏⵓ",خبزي في مزودي لم يسمع أحد لصرخاتي.,"aghṛum inu dg u3dil inu, ur isll ḥdd i yghuyyan inu","اغروم ينو دڭ وعديل ينو, ور يسلل حدد ي يغوييان ينو","""My bread is in my basket, yet no one heard my cries."""
"ⴰⵖⵓⴷⵉ ⵅ ⵓⵍⵉⵍⵉ, ⵏⵜⵜⴰ ⴷ ⴰⵎⵃⵃⵉⵕⵕⵓ",الجمال على نبات الدفلى لكنه مر.,"aghudi kh ulili, ntta d amḥḥiṛṛu","اغودي خ وليلي, نتتا د امححيررو","""Beauty is on the oleander plant, but it is bitter."""
"ⴰⵖⵢⵓⵍ ⵉⵏⵓ ⴷⴰ, ⵜⵉⵙⵛⵔⵙⵜ ⵏⵏⵙ ⴷⵉ ⴼⴰⵙ",حماري هنا، لكن مربطه في فاس.,"aghyul inu da, tisshrst nns di fas","اغيول ينو دا, تيسشرست ننس دي فاس","""My donkey is here, but its tether is in Fez."""
