source_string,target_string,latin,arabic_script,english
"ⴰⴱⴷⴷⵉ ⵏ ⵍⵇⴱⵟⴰⵏ, ⵜⴰⵃⵔⴰⵢⵎⵉⵛⵜ ⵏ ⵛⵛⵉⵟⴰⵏ  -ⵜⴰⵃⵕⵓⵕⵜ",وقوف القبطان ومكر الشيطان!– الفلفلة.,"abddi n lqbṭan, taḥraymisht n shshiṭan  -taḥṛuṛt","ابددي ن لقبطان, تاحرايميشت ن ششيطان  -تاحرورت","""The captain's stance and the devil's cunning! – The chili pepper."""
"ⴰⴽⵉⴹⴰⵔ ⵉⵏⵓ ⵢⵖⵎⵙ ⴷⵉ ⵜⵎⵓⵔⵜ, ⵙⵙⴱⵉⴱ ⵏⵏⵙ ⵢⵓⵍⵢ ⴷⴳ ⵓⵊⵏⵏⴰ  -ⵜⴰⴱⵚⵍⵜ / ⵜⴰⵍⵉⴷⴰⵎⵜ",حصاني مغطى في الأرض وشعره طالع في السماء!– البصلة.,"akiḍar inu yghms di tmurt, ssbib nns yuly dg ujnna  -tabṣlt / talidamt","اكيضار ينو يغمس دي تمورت, سسبيب ننس يولي دڭ وجننا  -تابصلت / تاليدامت","""My horse is covered in the ground, and its hair reaches the sky! – The onion."""
ⴰⴽⵙⵓⵎ ⵉⵙⵙⵖⵎⴰⵢ ⵉⵙⵏⵏⴰⵏⵏ  -ⵉⵏⵙⵉ / ⴱⵓⵎⵃⵏⴷ,لحم ينبت الشوك!– القنفذ.,aksum issghmay isnnann  -insi / bumḥnd,اكسوم يسسغماي يسننانن  -ينسي / بومحند,"""Meat that grows thorns! – The hedgehog."""
"ⴰⵎⵣⵡⴰⵔ ⵏⵏⵙ ⴷ ⴰⵎⵍⵍⴰⵍ, ⴰⵖⵎⴰⵢ ⵏⵏⵙ ⴷ ⴰⵣⵉⵣⴰ, ⴰⵏⴳⴳⴰⵔ ⵏⵏⵙ ⴷ ⴰⵎⵍⵍⴰⵍ  -ⵉⵎⵏⴷⵉ",أوله أبيض وإنباته أخضر وآخره أبيض!– الشعير.,"amzwar nns d amllal, aghmay nns d aziza, anggar nns d amllal  -imndi","امزوار ننس د امللال, اغماي ننس د ازيزا, انڭڭار ننس د امللال  -يمندي","""Its beginning is white, its growth is green, and its end is white! – Barley."""
"ⴰⵎⵣⵡⴰⵔ ⵏⵏⵙ ⴷ ⴰⵎⵍⵍⴰⵍ, ⴰⵏⵎⵎⴰⵙ ⵏⵏⵙ ⴷ ⴰⵣⵉⵣⴰ, ⴰⵏⴳⴳⴰⵔ ⵏⵏⵙ ⴷ ⴰⴱⵔⵛⴰⵏ  -ⴰⵣⵛⵜⵓⵏ",أوله أبيض ووسطه أخضر وآخره أسود!– الزيتون.,"amzwar nns d amllal, anmmas nns d aziza, anggar nns d abrshan  -azshtun","امزوار ننس د امللال, انمماس ننس د ازيزا, انڭڭار ننس د ابرشان  -ازشتون","""Its beginning is white, its middle is green, and its end is black! – The olive."""
"ⴰⵏⵉⵙ ⵎⵎⴰ ⵜⴽⴽⴰ, ⵜⵙⵙⵟⴼⴰⵕ ⵉ ⴼⵓⵍⵍⵓⵙⵏ ⵏⵏⵙ  -ⵚⵚⵉⵏⵉⵢⴰ",أينما ذهبت تُتبع كتاكيتها!– الصينية.,"anis mma tkka, tssṭfaṛ i fullusn nns  -ṣṣiniya","انيس مما تككا, تسسطفار ي فوللوسن ننس  -صصينييا","""Wherever she goes, her chicks follow her! – Chinese."""
ⴰⵏⵉⵙ ⵎⵎⴰ ⵜⴽⴽⵉⵜ ⵜⵟⴼⵕ ⵉⵛ  -ⵜⵉⵍⵉ,أينما مررت يتبعك!– الظل.,anis mma tkkit tṭfṛ ish  -tili,انيس مما تككيت تطفر يش  -تيلي,"Wherever you go, it follows you! – The shadow."
"ⴰⵏⵉⵙ ⵎⵎⴰ ⵢⴽⴽⴰ, ⵉⴽⵙⵙⵉ ⵔⵔⵃⵉⵍ ⵏⵏⵙ  -ⴱⵓⵄⴱⵓⵄ",أينما مر يحمل متاعه!– الحلزون.,"anis mma ykka, ikssi rrḥil nns  -bu3bu3","انيس مما يككا, يكسسي ررحيل ننس  -بوعبوع","Wherever it goes, it carries its belongings! – The snail."
"ⴰⵏⵉⵙ ⵎⵎⴰ ⵢⴽⴽⴰ, ⵉⵙⵏⵏⴰⵏⵏ ⵅ ⵓⵙⵔⵓⴼ ⵏⵏⵙ  -ⵉⵏⵙⵉ / ⴱⵓⵎⵃⵏⴷ",أينما مر، الشوك على ظهره!– القنفذ.,"anis mma ykka, isnnann kh usruf nns  -insi / bumḥnd","انيس مما يككا, يسننانن خ وسروف ننس  -ينسي / بومحند","""Wherever it goes, thorns are on its back! – The hedgehog."""
"ⴰⵏⵓ ⵅ ⵡⴰⵏⵓ, ⴰⵎⴰⵏ ⵡⴰⵍⵓ  -ⵖⴰⵏⵉⵎ",بئر على بئر ولا وجود للماء!– القصبة.,"anu kh wanu, aman walu  -ghanim","انو خ وانو, امان والو  -غانيم","A well upon a well, yet no water exists! – The Kasbah."
