Tamazight_Tifinagh,Tamazight_Arabic,Tamazight_Latin,Arabic Standard,English_Sentence
ⴰⵢⴷⵉ,ايدي,aydi,كلب,dog
ⴰⵢⴷⵉ,ايدي,aidi,كلب,dog
ⴰⵎⵛⵉⵛ,امشيش,amchich,قط,cat
ⴰⵎⵛⵉⵛ,امشيش,amshish,قط,cat
ⴰⵎⵛⵉⵛ,امشيش,amxix,قط,cat
ⴰⵎⵓⵛ,اموش,amoch,قط,cat
ⴰⵎⵓⵛ,اموش,amosh,قط,cat
ⴰⵎⵓⵛ,اموش,amox,قط,cat
ⴰⵎⴰⵛⵛⵓ,اماشّو,amacho,قط,cat
ⴰⵎⴰⵛⵛⵓ,اماشّو,amasho,قط,cat
ⴰⵖⵉⵢⵓⵍ,اغيول,aghiole,حمار,donkey
ⴰⵎⴷⵖ,امدغ,amdgh,زرافة,giraffe
ⴰⴳⵔⵣⴰⵎ,اكرزام,agrzam,اسد,lion
ⴰⴳⵔⵣⴰⵎ,اغرزام,agrzam,اسد,lion
ⴰⴳⵔⵣⴰⵎ,اڭرزام,agrzam,اسد,lion
ⴰⴼⵓⵍⵍⵓⵙ,افولوس,afullus,ديك,cock
ⴰⴼⵓⵍⵍⵓⵙ,افولّوس,afullus,ديك,cock
ⴰⵢⴰⵥⵉⴹ,ايازيد,ayazid,ديك,cock
ⴰⵎⵓⵊⵊⵓⴹ,امجّود,amjjod,ديك,cock
ⴰⴽⵓⵊⵊⵓⴹ,اكجّود,akjjod,ديك,cock
ⴰⵄⵜⵜⵓⴳ,اعتّوڭ,a3ttog,ديك,cock
ⴰⵄⵜⵜⵓⴳ,اعتّوڭ,a3ttug,ديك,cock
ⴰⵄⵜⵜⵓⴳ,اعتّوك,a3ttog,ديك,cock
ⵜⴰⴼⵓⵍⵍⵓⵙⵜ,تفولّوست,tafullust,دجاجة,chicken
ⵜⴰⵎⵍⴰⵍⵜ,تاملالت,tamlalt,غزالة,gazelle
ⵜⴰⵥⵏⴽⵯⴹⵜ,تازنكت,taznkdt,غزالة,gazelle
ⵜⵉⵖⵉⴷⵜ ⵏ ⵓⵣⴰⵖⴰⵔ,تيغيدت ن اوزاغار,tighidt n uzaghar,غزالة,gazelle
ⴰⵥⵏⴽⵯⴹ,ازنكد,aznkd,غزالة,gazelle
ⴰⵎⵍⴰⵍ,املال,amlal,غزالة,gazelle
ⵉⵣⵎ,ايزم,izm,نمر,tiger
ⴰⴽⵙⵉⵍ,اكسيل,aksil,نمر,tiger
ⴰⵖⵍⵢⴰⵙ,اغلياس,aghlyas,نمر,tiger
ⴰⵖⵉⵍⴰⵙ,اغيلاس,aghilas,نمر,tiger
ⵉⴼⵉⵙ,ايفيس,ifis,ضبع,hyena
ⵎⵊⵖⵢⵓⵍ,مجغيول,mjghyul,ضبع,hyena
ⵜⴰⵣⵓⵔⵉ,تازوري,tazuri,ضبع,hyena
ⴰⵔⵉⴷⴰⵍ,اريدال,aridal,ضبع,hyena
ⵜⵓⵔⵙⵔⴰ,تورسرا,tursra,ضبع,hyena
ⵜⵓⵄⵔⴰ,توعرا,tu3ra,ضبع,hyena
ⵉⵙⵍⵎⴰⵏ,ايسلمان,islman,حوت,fish
ⵜⵉⵣⵎⴽⵜ,تيزمكت,tismkt,حوت,fish
ⵜⵉⵣⵎⴳⵜ,تيزمڭت,tizmgt,حوت,fish
ⵜⴰⵡⵟⵟⵓⴼⵜ,تاوطّوفت,tawttuft,نملة,ant
ⵜⵓⴹⴼⵉⵜ,توضفيت,tudfit,نملة,ant
ⵜⵓⵟⵟⴼⵉⵜ,توطّفيت,tuttfit,نملة,ant
ⵜⵓⵟⴼⵉⵜ,توطفيت,tutfit,نملة,ant
ⵜⴰⴽⵟⵟⵓⴼⵜ,توطفيت,takttuft,نملة,ant
ⴰⵡⵟⵟⵓⴼ,اوطّوف,awttuf,نملة,ant
ⴱⵓⵜⴳⵔⴰ,بوتڭرا,butgra,سلحفاة,turtle
ⵉⴼⴽⵔ,ايفكر,ifkr,سلحفاة,turtle
ⴰⵇⵔⴱⴰⴱ,اقرباب,aqrbab,سلحفاة,turtle
ⵜⵉⴽⴼⵔⵜ,تيكفرت,tikfrt,سلحفاة,turtle
ⵉⴽⴼⵔ,ايكفر,ikfr,سلحفاة,turtle
ⴰⵖⵍⴰⵍ,اغلال,aghlal,حلزون,snail
ⴰⵛⴱⴱⵔⵖⵍⴰⵍ,اكبّرغلال,acbbrghlal,حلزون,snail
ⴰⵊⵖⵓⵍ,اجغول,ajghul,حلزون,snail
ⴰⴱⵄⴱⵓⵄ,ابعبوع,ab3bu3,حلزون,snail
ⴰⴱⵓⵊⵖⵍⴰⵍ,ابوجغلال,abujghlal,حلزون,snail
ⴰⴱⵓⵖⵍⴰⵍ,ابوغلال,abughlal,حلزون,snail
ⴰⴱⵔⵖⵍⴰⵍ,ابرغلال,abrghlal,حلزون,snail
ⴰⵙⵔⴷⵓⵏ,اسردون,asrdun,بغل,mule
ⴰⴳⵎⴰⵔ,اڭمار,agmar,حصان,horse
ⴰⵢⵢⵉⵙ,ايّيس,ayyis,حصان,horse
ⵉⵢⵢⵉⵙ,ايّيس,iyyis,حصان,horse
ⴰⴳⵯⵎⴰⵔ,اڭمار,agwmar,حصان,horse
ⴰⴽⵉⴹⴰⵕ,اكيدار,akidar,حصان,horse
ⵉⵣⵉⵎⵎⵔ,ايزيمّر,izimmr,خروف,sheep
ⴰⴱⵔⵇⵉ,ابرقي,abr9i,خروف,sheep
ⴰⵔⵔⴰⴳ,ارّاڭ,arrag,خروف,sheep
ⴰⵥⵕⵕⵉⴼ,ازرّيف,azrrif,خروف,sheep
ⵜⴰⵀⵔⵓⵢⵜ,تاهرويت,ta8ruyt,نعجة,sheep
ⵜⵉⵅⵙⵉ,تيخسي,ti5si,نعجة,sheep
ⵜⵉⵍⵉ,تيلي,tili,نعجة,sheep
ⵜⴰⵖⴰⴹⵜ,تاغادت,taghadt,معزة,goat
ⵜⴰⵖⵖⴰⴹⵜ,تاغّادت,taghghadt,معزة,goat
ⴰⵖⵓⵛⴰⴼ,اغوشاف,aghuchaf,تمساح,crocodile
ⴰⵖⵓⵛⴰⴼ,اغوشاف,aghushaf,تمساح,crocodile
ⵉⵍⵡ,الو,ilw,فيل,elephant
ⵉⵍⵓ,الو,ilu,فيل,elephant
ⴰⵖⵉ,اغي,aghi,عجل,calf
ⴰⵄⵍⵍⵓⵛ,اعلّوش,a3lluch,عجل,calf
ⴰⵄⵍⵍⵓⵛ,اعلّوش,a3llush,عجل,calf
ⴰⵖⵉⵢ,اغي,aghiy,عجل,calf
ⴰⴳⵏⴷⵓⵣ,اڭندوز,agnduz,عجل,calf
ⵓⵛⵛⵏ,اوشّن,ochchen,ذئب,wolf
ⵓⵛⵛⵏ,اوشّن,oshshen,ذئب,wolf
ⵜⵓⵛⵛⵏⵜ,توشّنت,touchent,ذئب,wolf
ⵜⵓⵛⵛⵏⵜ,توشّنت,toushent,ذئب,wolf
ⴰⵖⵏⵙⵉ,اغنسي,aghnsi,ذئب,wolf
ⴰⵙⵖⴷⴰ,اسغدي,asghdi,ذئب,wolf
ⵉⵍⴼ,ايلف,ilf,خنزير,pig
ⴰⵍⴰⴷⴰⵢ,الاداي,aladay,خنزير,pig
ⴱⵓⵜⴰⴳⴰⵏⵜ,بوتڭانت,butagant,خنزير,pig
ⴰⴱⵓⵍⵅⵉⵔ,ابولخير,abulkhir,خنزير,pig
ⴰⴱⵓⵍⵅⵉⵔ,ابولخير,abul5ir,خنزير,pig
ⴰⵎⵓⵏⵣⵉⵣ,امونزيز,amunziz,خنزير,pig
ⴰⴱⴰⵖⵓⵙ,اباغوس,abaghus,قرد,monkey
ⴰⵥⵄⴹⵓⴹ,ازعضوض,az3dud,قرد,monkey
ⵉⴱⴽⵉ,اِبكي,ibki,قرد,monkey
ⵉⴷⴷⵡ,ايدّو,iddw,قرد,monkey
ⴰⵣⵔⴷⵉ,ازردي,azrdi,جرذ,rat
ⴰⵍⴰⵎⴰ,الاما,alama,اللّاما,llama
ⴰⵔⵄⵎ,ارعم,ar3m,جمل,camel
ⴰⵔⵖⵎ,ارغم,arghm,جمل,camel
ⴰⵕⴰⵎ,ارام,aram,جمل,camel
ⴰⵣⵢⴰⵎ,ازيام,azyam,دلفين,dolphin
ⵜⴰⵡⵡⵄⴽⵜ,تاوّوكت,tawwukt,بومة,owl
